#node	identifier	node_degree
EOMES	9606.ENSP00000388620	8
FOXA2	9606.ENSP00000400341	9
FOXH1	9606.ENSP00000366534	7
GATA4	9606.ENSP00000334458	10
MIXL1	9606.ENSP00000442439	10
NANOG	9606.ENSP00000229307	10
POU5F1	9606.ENSP00000259915	10
SOX1	9606.ENSP00000330218	8
SOX17	9606.ENSP00000297316	9
T	9606.ENSP00000296946	7
TBX6	9606.ENSP00000378650	8
