#node	identifier	node_degree
ANO5	9606.ENSP00000315371	2
CDH13	9606.ENSP00000268613	2
CDH17	9606.ENSP00000027335	3
FCGR2B	9606.ENSP00000351497	2
FOXC2	9606.ENSP00000326371	3
MEOX1	9606.ENSP00000321684	4
MEOX2	9606.ENSP00000262041	4
MKX	9606.ENSP00000364946	2
ONECUT3	9606.ENSP00000371786	1
PAX1	9606.ENSP00000381499	3
TCF15	9606.ENSP00000246080	10
