#node	identifier	node_degree
CD44	9606.ENSP00000398632	6
DPPA4	9606.ENSP00000335306	6
KLF4	9606.ENSP00000363804	9
MYC	9606.ENSP00000479618	9
NANOG	9606.ENSP00000229307	10
POU5F1	9606.ENSP00000259915	10
SALL1	9606.ENSP00000251020	4
SALL4	9606.ENSP00000217086	9
SOX2	9606.ENSP00000323588	10
STAT3	9606.ENSP00000264657	7
TET1	9606.ENSP00000362748	6
