#node	identifier	node_degree
CTNNB1	9606.ENSP00000344456	9
ESRRB	9606.ENSP00000422488	9
KLF4	9606.ENSP00000363804	9
LIN28A	9606.ENSP00000363314	8
NANOG	9606.ENSP00000229307	9
PKM	9606.ENSP00000320171	2
POU5F1	9606.ENSP00000259915	10
SALL4	9606.ENSP00000217086	9
SOX17	9606.ENSP00000297316	7
SOX2	9606.ENSP00000323588	8
WDR5	9606.ENSP00000351446	6
