#node	identifier	node_degree
ADAMTS14	9606.ENSP00000362304	6
ADAMTS2	9606.ENSP00000251582	7
ADAMTS3	9606.ENSP00000286657	5
BMP1	9606.ENSP00000305714	6
COL11A1	9606.ENSP00000359114	10
COL11A2	9606.ENSP00000363840	9
COL2A1	9606.ENSP00000369889	10
ITGA10	9606.ENSP00000358310	4
ITGB1	9606.ENSP00000379350	5
ITGB3	9606.ENSP00000452786	5
PCOLCE	9606.ENSP00000223061	5
