#node	identifier	node_degree
ANXA10	9606.ENSP00000352248	5
CCDC14	9606.ENSP00000420180	5
HES7	9606.ENSP00000446205	3
MEOX1	9606.ENSP00000321684	3
MSGN1	9606.ENSP00000281047	10
SMC6	9606.ENSP00000404092	5
SPOCK3	9606.ENSP00000349677	5
T	9606.ENSP00000296946	2
TBX6	9606.ENSP00000378650	4
UNCX	9606.ENSP00000314480	3
VSNL1	9606.ENSP00000384719	5
