#node	identifier	node_degree
GRB2	9606.ENSP00000376345	9
PDGFA	9606.ENSP00000346508	9
PDGFB	9606.ENSP00000330382	10
PDGFD	9606.ENSP00000376865	3
PDGFRB	9606.ENSP00000261799	10
PIK3R1	9606.ENSP00000428056	9
PLCG1	9606.ENSP00000244007	9
PTEN	9606.ENSP00000361021	8
PTPN11	9606.ENSP00000340944	8
RASA1	9606.ENSP00000274376	8
SRC	9606.ENSP00000362680	9
