#node	identifier	node_degree
ACAN	9606.ENSP00000387356	10
ADAMTS1	9606.ENSP00000284984	7
ADAMTS4	9606.ENSP00000356975	9
ADAMTS5	9606.ENSP00000284987	8
FMOD	9606.ENSP00000347041	8
FN1	9606.ENSP00000346839	9
LUM	9606.ENSP00000266718	7
MMP1	9606.ENSP00000322788	9
MMP13	9606.ENSP00000260302	8
MMP3	9606.ENSP00000299855	8
TNR	9606.ENSP00000356646	1
